Open,Close,High,Low,Volume,Date
4.74,4.84,4.8575,4.73,,12/31/20
4.66,4.745,4.76,4.62,,12/30/20
4.5575,4.66,4.6725,4.535,,12/29/20
4.52,4.565,4.575,4.48,,12/28/20
4.4675,4.51,4.515,4.465,,12/24/20
4.4275,4.4725,4.4975,4.415,,12/23/20
4.4,4.435,4.4425,4.3725,,12/22/20
4.38,4.4,4.4075,4.3025,,12/21/20
4.3225,4.375,4.385,4.32,,12/18/20
4.2625,4.325,4.33,4.2425,,12/17/20
4.2525,4.2725,4.2925,4.2375,,12/16/20
0,4.2475,4.2525,4.205,,12/15/20
4.2475,4.1925,4.2975,4.22,,12/14/20
4.22,4.2425,4.245,4.175,,12/11/20
4.22,4.2025,4.2575,4.2,,12/10/20
4.18,4.22,4.2225,4.18,,12/09/20
4.1875,4.17,4.19,4.155,,12/08/20
4.1525,4.195,4.21,4.12,,12/07/20
4.2225,4.17,4.2275,4.1575,,12/04/20
4.1925,4.225,4.2325,4.1775,,12/03/20
4.145,4.19,4.1975,4.09,,12/02/20
4.2,4.1475,4.23,4.14,,12/01/20
4.275,4.1975,4.305,4.1825,,11/30/20
4.2025,4.255,4.2625,4.185,,11/27/20
4.26,4.2,4.275,4.2,,11/25/20
4.2575,4.2575,4.265,4.165,,11/24/20
4.275,4.265,4.2975,4.235,,11/23/20
4.2225,4.2325,4.28,4.215,,11/20/20
4.245,4.225,4.255,4.1875,,11/19/20
4.19,4.2575,4.285,4.185,,11/18/20
4.175,4.2025,4.22,4.1725,,11/17/20
4.09,4.1625,4.1675,4.09,,11/16/20
4.075,4.105,4.1325,4.0375,,11/13/20
4.1725,4.0825,4.185,4.0625,,11/12/20
4.225,4.1725,4.28,4.1625,,11/11/20
4.07,4.23,4.2725,4.0625,,11/10/20
4.0575,4.075,4.1,4.0175,,11/09/20
4.09,4.0675,4.12,4.0575,,11/06/20
4.05,4.0925,4.1725,4.04,,11/05/20
4,4.0525,4.06,3.965,,11/04/20
3.9625,4.01,4.0325,3.9525,,11/03/20
3.96,3.975,3.9775,3.93,,11/02/20
3.9725,3.985,4,3.9425,,10/30/20
4.01,3.985,4.0425,3.93,,10/29/20
