Open,Close,High,Low,Volume,Date
13.0225,13.1525,13.215,12.9925,,12/31/20
12.95,13.0375,13.0825,12.7975,,12/30/20
12.5375,12.955,12.9875,12.45,,12/29/20
12.73,12.5525,12.795,12.45,,12/28/20
12.6025,12.635,12.7425,12.5975,,12/24/20
12.4825,12.5875,12.6675,12.405,,12/23/20
12.445,12.4725,12.5225,12.3675,,12/22/20
12.2525,12.4325,12.44,12.135,,12/21/20
12.0275,12.2,12.2475,12.015,,12/18/20
11.8325,12.0125,12.0175,11.7975,,12/17/20
11.87,11.8375,11.95,11.8175,,12/16/20
11.7075,11.8425,11.8575,11.62,,12/15/20
11.6475,11.695,11.73,11.6125,,12/14/20
11.5525,11.605,11.6275,11.51,,12/11/20
11.5975,11.5275,11.78,11.5025,,12/10/20
11.46,11.585,11.6075,11.455,,12/09/20
11.575,11.4575,11.6025,11.4275,,12/08/20
11.6,11.585,11.69,11.49,,12/07/20
11.68,11.63,11.725,11.5775,,12/04/20
11.5425,11.6825,11.7075,11.52,,12/03/20
11.6375,11.53,11.64,11.425,,12/02/20
11.6925,11.62,11.76,11.6125,,12/01/20
11.98,11.685,11.99,11.68,,11/30/20
11.86,11.9175,11.94,11.7925,,11/27/20
11.975,11.84,11.985,11.8325,,11/25/20
11.9075,11.9125,11.94,11.74,,11/24/20
11.955,11.915,12,11.86,,11/23/20
11.79,11.81,11.9675,11.7675,,11/20/20
11.74,11.775,11.8125,11.6175,,11/19/20
11.7025,11.7575,11.8975,11.6775,,11/18/20
11.57,11.6975,11.7825,11.5625,,11/17/20
11.5025,11.535,11.5525,11.44,,11/16/20
11.395,11.48,11.45,11.395,,11/13/20
11.3625,11.37,11.4075,11.3225,,11/12/20
11.37,11.4325,11.5025,11.36,,11/11/20
11.0675,11.3825,11.4525,11.0225,,11/10/20
10.9775,11.05,11.1325,10.9675,,11/09/20
11.01,10.985,11.075,10.9575,,11/06/20
10.8,11.0175,11.1125,10.795,,11/05/20
10.615,10.79,10.815,10.5625,,11/04/20
10.51,10.59,10.685,10.51,,11/03/20
10.535,10.5075,10.535,10.42,,11/02/20
10.51,10.565,10.6225,10.47,,10/30/20
10.585,10.5175,10.6225,10.51,,10/29/20
10.8175,10.5725,10.8175,10.5675,,10/28/20
10.86,10.8225,10.94,10.8175,,10/27/20
10.87,10.8775,0,10.78,,10/26/20
10.8375,10.8725,10.8975,10.8025,,10/25/20
10.7125,10.8375,10.885,10.6575,,10/23/20
10.7225,10.7375,10.8525,10.635,,10/22/20
10.65,10.72,10.77,10.6425,,10/21/20
10.5575,10.64,10.6575,10.5125,,10/20/20
10.5125,10.5425,10.5825,10.4775,,10/19/20
10.6275,10.5,10.7075,10.4875,,10/16/20
10.575,10.6225,10.6425,10.3725,,10/15/20
10.43,10.5625,10.5975,10.3975,,10/14/20
10.34,10.44,10.46,10.325,,10/13/20
10.6525,10.3375,10.735,10.315,,10/12/20
10.5025,10.655,10.7975,10.47,,10/09/20
10.5125,10.5,10.69,10.485,,10/08/20
10.4125,10.51,10.5975,10.3725,,10/07/20
10.215,10.44,10.5375,10.2125,,10/06/20
10.1975,10.215,10.255,10.16,,10/05/20
10.24,10.2075,10.28,10.13,,10/02/20
10.2325,10.235,10.35,10.2175,,10/01/20
9.9225,10.235,10.3475,9.875,,09/30/20
9.94,9.93,9.9775,9.8575,,09/29/20
10.02,9.9625,10.075,9.915,,09/28/20
9.99,10.025,10.08,9.9525,,09/25/20
10.125,10,10.1475,9.9725,,09/24/20
10.205,10.145,10.255,10.11,,09/23/20
10.2025,10.1975,10.37,10.1325,,09/22/20
10.41,10.225,10.4525,10.205,,09/21/20
10.28,10.435,10.4675,10.2725,,09/18/20
10.115,10.285,10.3225,10.05,,09/17/20
9.91,10.1125,10.1375,9.85,,09/16/20
0,9.915,10.0575,9.9025,,09/15/20
10.1925,10.1925,10.1925,10.1925,,09/14/20
9.92,10.055,10.25,9.92,,09/11/20
9.835,9.85,9.8625,9.825,,09/10/20
9.7425,9.7975,9.795,9.7425,,09/09/20
9.7575,9.73,9.7575,9.65,,09/08/20
9.7,9.695,9.71,9.7,,09/04/20
9.625,9.6875,9.665,9.625,,09/03/20
9.515,9.625,9.62,9.475,,09/02/20
9.48,9.55,9.565,9.45,,09/01/20
9.6025,9.5125,9.67,9.5075,,08/31/20
9.3575,9.505,9.525,9.3575,,08/28/20
9.1975,9.3725,9.4375,9.195,,08/27/20
9.14,9.195,9.2025,9.14,,08/26/20
9.05,9.1375,9.1475,9.05,,08/25/20
9.01,8.9975,9.0775,8.9675,,08/24/20
9.045,9.0075,9.0775,8.995,,08/21/20
9.1175,9.03,9.14,9.005,,08/20/20
9.105,9.125,9.1775,9.0775,,08/19/20
9.12,9.12,9.1475,9.08,,08/18/20
8.995,9.125,9.15,8.99,,08/17/20
9.03,8.97,9.03,9.03,,08/14/20
8.9475,9.0725,9.105,8.9475,,08/13/20
8.8075,8.905,8.8725,8.78,,08/12/20
8.785,8.78,8.795,8.78,,08/11/20
8.695,8.765,8.7825,8.695,,08/10/20
8.78,8.7025,8.7875,8.71,,08/07/20
8.82,8.8075,8.86,8.8,,08/06/20
8.84,8.82,8.84,8.8,,08/05/20
